Date,Close(ACN),_Returns_ACN,,Close(S&P500),Returns_S&p,,,
8/29/2022,284.070007,0.022811211,,3924.26001,0.036465498,,,
9/5/2022,290.549988,-0.061504029,,4067.360107,-0.047704168,,,
9/12/2022,272.679993,-0.046574675,,3873.330078,-0.046497483,,,
9/19/2022,259.980011,-0.010308573,,3693.22998,-0.02913706,,,
9/26/2022,257.299988,0.00936651,,3585.620117,0.015071255,,,
10/3/2022,259.709991,-0.026914598,,3639.659912,-0.015548113,,,
10/10/2022,252.720001,0.066674604,,3583.070068,0.047356018,,,
10/17/2022,269.570007,0.067551996,,3752.75,0.039520367,,,
10/24/2022,287.779999,-0.092501199,,3901.060059,-0.033455012,,,
10/31/2022,261.160004,0.110774971,,3770.550049,0.058978101,,,
11/7/2022,290.089996,-0.012375456,,3992.929932,-0.006909674,,,
11/14/2022,286.5,0.034554953,,3965.340088,0.015327822,,,
11/21/2022,296.399994,0.012584383,,4026.120117,0.011321032,,,
11/28/2022,300.130005,-0.039049748,,4071.699951,-0.033725488,,,
12/5/2022,288.410004,-0.082972132,,3934.379883,-0.020846939,,,
12/12/2022,264.480011,0.00608736,,3852.360107,-0.001957252,,,
12/19/2022,266.089996,0.002818595,,3844.820068,-0.001383698,,,
12/26/2022,266.839996,0.008881708,,3839.5,0.014475864,,,
1/2/2023,269.209991,0.04802951,,3895.080078,0.02670292,,,
1/9/2023,282.140015,-0.005919097,,3999.090088,-0.006621501,,,
1/16/2023,280.470001,-0.011409463,,3972.610107,0.024656322,,,
1/23/2023,277.269989,0.04309883,,4070.560059,0.016194312,,,
1/30/2023,289.220001,-0.018186882,,4136.47998,-0.011125406,,,
2/6/2023,283.959991,-0.024334425,,4090.459961,-0.002779607,,,
2/13/2023,277.049988,-0.037971447,,4079.090088,-0.026733915,,,
2/20/2023,266.529999,0.010017683,,3970.040039,0.019042592,,,
2/27/2023,269.200012,-0.060364095,,4045.639893,-0.045493373,,,
3/6/2023,252.949997,-0.011662372,,3861.590088,0.014255735,,,
3/13/2023,250,0.088,,3916.639893,0.013876715,,,
3/20/2023,272,0.050772051,,3970.98999,0.034832641,,,
3/27/2023,285.809998,-0.014380134,,4109.310059,-0.00104398,,,
4/3/2023,281.700012,-0.008697238,,4105.02002,0.007946397,,,
4/10/2023,279.25,-0.010456627,,4137.640137,-0.000995765,,,
4/17/2023,276.329987,0.014330772,,4133.52002,0.008699597,,,
4/24/2023,280.290009,-0.052231669,,4169.47998,-0.007969814,,,
5/1/2023,265.649994,0.043440648,,4136.25,-0.00294226,,,
5/8/2023,277.190002,0.045889108,,4124.080078,0.016464254,,,
5/15/2023,289.910004,0.047221558,,4191.97998,0.00321333,,,
5/22/2023,303.600006,0.025658791,,4205.450195,0.018290532,,,
5/29/2023,311.390015,-0.008574501,,4282.370117,0.003850612,,,
6/5/2023,308.720001,0.035047966,,4298.859863,0.025757988,,,
6/12/2023,319.540009,-0.066063765,,4409.589844,-0.013892395,,,
6/19/2023,298.429993,0.034011307,,4348.330078,0.023468735,,,
6/26/2023,308.579987,-0.009138561,,4450.379883,-0.011556247,,,
7/3/2023,305.76001,0.032738025,,4398.950195,0.02420344,,,
7/10/2023,315.769989,-0.003071859,,4505.419922,0.006862828,,,
7/17/2023,314.799988,0.002382465,,4536.339844,0.010116115,,,
7/24/2023,315.549988,-0.01125016,,4582.22998,-0.022740062,,,
7/31/2023,312,-0.009455167,,4478.029785,-0.003121904,,,
8/7/2023,309.049988,-0.019770219,,4464.049805,-0.021133242,,,
8/14/2023,302.940002,0.052221588,,4369.709961,0.008238533,,,
8/21/2023,318.76001,0.028171602,,4405.709961,0.024981231,,,
8/28/2023,327.73999,-0.006926189,,4515.77002,-0.012905836,,,
9/4/2023,325.470001,-0.039757895,,4457.490234,-0.00160862,,,
9/11/2023,312.529999,0.011390897,,4450.319824,-0.029269754,,,
9/18/2023,316.089996,-0.028409665,,4320.060059,-0.007409678,,,
9/25/2023,307.109985,0.016541361,,4288.049805,0.004769113,,,
10/2/2023,312.190002,-0.033184967,,4308.5,0.004474825,,,
10/9/2023,301.829987,-0.016002343,,4327.779785,-0.023942907,,,
10/16/2023,297,-0.023434313,,4224.160156,-0.025280774,,,
10/23/2023,290.040009,0.080850849,,4117.370117,0.058525156,,,
10/30/2023,313.48999,0.019777384,,4358.339844,0.013055519,,,
11/6/2023,319.690002,0.025462119,,4415.240234,0.02237246,,,
11/13/2023,327.829987,0.018942813,,4514.02002,0.010039792,,,
11/20/2023,334.040009,0.012034454,,4559.339844,0.007740164,,,
11/27/2023,338.059998,-0.002455147,,4594.629883,0.002119917,,,
12/4/2023,337.230011,0.020520069,,4604.370117,0.02493714,,,
12/11/2023,344.149994,0.029928863,,4719.189941,0.007509751,,,
12/18/2023,354.450012,-0.009987327,,4754.629883,0.003196925,,,
12/25/2023,350.910004,-0.040722718,,4769.830078,-0.015218539,,,
1/1/2024,336.619995,0.058552648,,4697.240234,0.018434195,,,
1/8/2024,356.329987,0.021244373,,4783.830078,0.011701917,,,
1/15/2024,363.899994,0.019703251,,4839.810059,0.010570695,,,
1/22/2024,371.070007,0.005066443,,4890.970215,0.013829495,,,
1/29/2024,372.950012,-0.003432093,,4958.609863,0.013713521,,,
2/5/2024,371.670013,-0.005892329,,5026.609863,-0.004185731,,,
2/12/2024,369.480011,0.021218999,,5005.569824,0.016627474,,,
2/19/2024,377.320007,0.009726447,,5088.799805,0.009487556,,,
2/26/2024,380.98999,-0.007401709,,5137.080078,-0.002606566,,,
3/4/2024,378.170013,-0.009440217,,5123.689941,-0.001288153,,,
3/11/2024,374.600006,-0.099038989,,5117.089844,0.022882211,,,
3/18/2024,337.5,0.026992548,,5234.180176,0.003853502,,,
3/25/2024,346.609985,-0.039265992,,5254.350098,-0.009517876,,,
4/1/2024,333,-0.052852871,,5204.339844,-0.015550423,,,
4/8/2024,315.399994,0.004692489,,5123.410156,-0.030483637,,,
4/15/2024,316.880005,-0.027991653,,4967.22998,0.026721127,,,
4/22/2024,308.01001,-0.013960647,,5099.959961,0.005456921,,,
4/29/2024,303.709991,0.008626638,,5127.790039,0.018505075,,,
5/6/2024,306.329987,-0.008944573,,5222.680176,0.015430745,,,
5/13/2024,303.589996,-0.008564202,,5303.27002,0.000273453,,,
5/20/2024,300.98999,-0.062128249,,5304.720215,-0.005129479,,,
5/27/2024,282.290009,0.021644354,,5277.509766,0.013165389,,,
6/3/2024,288.399994,-0.005859927,,5346.990234,0.01582383,,,
6/10/2024,286.709991,0.077674377,,5431.600098,0.006079243,,,
6/17/2024,308.980011,-0.018027079,,5464.620117,-0.000757626,,,
6/24/2024,303.410004,-0.01407333,,5460.47998,0.019542231,,,
7/1/2024,299.140015,0.038410074,,5567.189941,0.008650712,,,
7/8/2024,310.630005,0.059749531,,5615.350098,-0.019651508,,,
7/15/2024,329.190002,-0.002217598,,5505,-0.008337857,,,
7/22/2024,328.459991,-0.016166343,,5459.100098,-0.020615126,,,
7/29/2024,323.149994,-0.022652041,,5346.560059,-0.000448869,,,
8/5/2024,315.829987,0.035113911,,5344.160156,0.039312041,,,
8/12/2024,326.920013,0.019423638,,5554.25,0.014468175,,,
8/19/2024,333.269989,0.012362427,,5634.609863,-0.007530191,,,
8/26/2024,337.390015,0.012077954,,5592.180176,0.007369212,,,
8/29/2024,341.464996,-1,,5633.390137,-1,,,
